idade,tempo_navegacao,preco_curso,categoria,nivel_interesse,visualizacoes,ja_comprou_antes,comprou
49,38,172,1,3,5,0,0
56,53,127,2,3,8,0,0
49,6,203,2,6,13,0,0
21,58,111,0,3,8,0,0
47,44,181,0,2,11,0,0
54,45,138,2,8,1,1,1
40,32,286,0,5,13,1,0
56,45,91,1,1,19,1,0
32,47,138,1,3,3,1,0
46,21,195,0,8,17,1,1
53,16,89,1,4,5,0,0
30,54,121,0,7,8,0,1
49,21,88,2,2,14,0,0
24,11,153,2,7,4,0,0
39,37,63,1,5,11,1,0
45,36,81,0,5,15,0,0
19,35,228,0,6,19,0,0
59,19,174,1,9,7,1,0
23,20,215,2,6,19,0,0
45,57,146,1,8,19,0,1
45,18,72,2,7,11,1,0
37,47,112,0,9,5,0,1
47,41,192,2,4,5,0,0
28,49,274,1,2,8,0,0
45,14,202,0,7,10,0,0
42,15,194,1,6,6,0,0
56,31,274,1,1,15,1,0
50,1,288,2,9,16,1,0
18,53,296,1,9,17,1,0
44,54,243,2,2,8,1,0
30,54,255,0,3,8,1,0
58,3,102,2,5,9,1,0
20,16,153,0,5,2,0,0
56,23,153,2,1,15,1,0
23,57,228,1,8,18,1,0
25,11,88,2,8,3,0,0
44,12,228,2,4,17,0,0
26,10,247,0,7,4,1,0
54,32,183,1,3,4,0,0
50,16,116,2,6,14,1,0
59,8,184,1,9,9,0,0
41,38,228,2,1,9,1,0
32,12,249,2,5,18,0,0
49,24,91,1,4,10,0,0
49,28,241,2,8,4,1,0
41,53,293,1,1,12,1,0
58,8,64,2,9,8,1,0
29,58,160,0,6,2,1,1
56,28,206,1,4,13,1,0
19,36,82,2,9,16,0,1
20,26,293,2,5,2,1,0
54,8,271,0,5,11,1,0
34,58,280,1,5,10,0,0
19,50,204,2,1,15,0,0
19,28,213,0,1,17,1,0
45,28,206,2,8,8,0,0
40,37,87,1,8,18,0,1
54,41,234,2,6,9,1,0
49,36,146,2,4,8,0,0
50,27,278,2,2,14,0,0
18,54,204,2,2,18,1,0
36,17,232,0,9,12,1,0
19,9,82,0,5,19,0,0
43,33,245,1,4,14,0,0
49,53,135,0,1,17,1,0
23,20,115,0,7,3,0,0
49,13,59,1,3,7,0,0
21,28,54,0,6,17,0,1
28,48,172,0,5,12,1,0
34,29,123,1,5,9,0,0
55,13,146,1,5,15,0,0
41,46,167,1,1,18,1,0
22,35,87,2,1,13,0,0
51,6,190,2,3,8,0,0
23,18,208,1,4,14,1,0
39,51,96,1,5,8,1,0
28,5,277,1,2,14,1,0
33,47,158,2,8,7,1,1
50,25,265,2,2,12,0,0
26,2,229,0,9,11,0,0
23,10,233,0,2,11,1,0
33,56,64,1,9,13,1,1
46,30,206,2,7,18,0,0
20,50,185,2,8,2,1,1
37,59,54,2,2,15,0,0
53,45,206,1,7,18,1,0
36,5,96,0,6,15,0,0
43,55,117,1,4,19,1,0
20,56,125,0,7,12,1,1
36,33,222,0,4,13,0,0
37,54,179,1,2,11,1,0
49,1,204,0,7,5,0,0
24,18,144,0,8,1,0,0
58,32,164,2,2,3,0,0
50,47,292,0,5,19,0,0
57,49,213,1,1,7,0,0
56,11,85,1,7,12,1,0
35,21,75,0,8,15,1,1
57,26,92,2,6,5,0,1
18,25,76,2,5,15,1,0
28,22,118,0,6,8,0,1
45,59,197,0,2,10,1,0
42,27,60,1,1,16,1,0
40,49,123,0,7,8,1,1
48,13,153,2,7,1,1,0
47,33,87,0,2,12,0,0
59,34,183,1,2,5,0,0
52,41,249,1,1,3,1,0
24,35,72,1,8,1,1,1
33,1,96,1,8,4,0,0
43,21,139,1,1,8,1,0
19,48,95,0,8,3,0,1
18,55,156,0,9,10,0,1
29,6,189,0,4,2,0,0
22,28,267,0,1,11,1,0
54,17,190,1,1,10,0,0
49,5,153,2,3,14,1,0
26,31,239,0,5,7,0,0
58,5,259,2,5,2,1,0
52,38,266,0,9,9,1,0
36,3,274,0,2,16,1,0
33,53,160,2,2,13,0,0
20,23,153,1,6,9,0,1
37,37,109,0,9,4,1,1
41,53,220,0,1,10,1,0
50,37,253,0,9,12,1,0
41,10,285,2,9,17,0,0
28,10,149,1,9,14,0,0
25,19,289,2,5,14,0,0
53,17,117,2,9,2,0,0
55,21,182,1,4,11,1,0
57,14,169,2,2,16,1,0
37,9,86,1,6,19,0,0
52,46,121,0,4,6,0,0
42,1,176,1,6,19,1,0
52,51,155,0,3,5,0,0
42,45,290,2,6,4,0,0
46,13,141,2,2,15,0,0
35,4,80,0,2,4,0,0
35,1,171,2,9,10,0,0
19,49,186,1,7,3,0,1
52,40,295,0,3,5,1,0
33,32,100,2,1,6,0,0
58,34,78,0,8,8,0,1
53,28,255,1,6,7,1,0
50,31,89,1,7,10,1,1
21,8,90,2,9,6,1,0
50,39,263,1,5,14,0,0
31,26,60,0,1,4,1,0
38,58,200,1,7,13,0,0
37,34,50,0,5,17,0,0
25,54,95,0,3,7,0,0
24,54,150,1,9,4,1,1
20,3,198,2,1,14,1,0
34,59,139,1,1,3,1,0
50,50,159,0,1,5,1,0
29,12,213,0,3,16,1,0
39,1,231,1,6,4,0,0
39,54,264,2,3,2,0,0
47,44,106,2,8,18,0,1
55,5,50,0,2,19,0,0
55,30,112,0,9,19,1,1
25,30,231,2,3,17,1,0
44,59,104,1,5,14,0,0
44,57,164,0,8,19,1,1
51,17,217,0,2,13,1,0
38,48,192,2,6,12,0,1
47,47,198,1,5,6,0,0
50,23,224,2,9,4,1,0
45,15,250,1,5,19,1,0
50,37,102,1,2,16,0,0
22,21,186,1,5,13,0,0
36,14,251,0,4,4,0,0
21,2,229,2,7,17,1,0
52,11,106,2,6,1,0,0
34,51,166,1,2,18,0,0
45,39,203,0,5,17,1,0
47,38,218,0,7,15,1,0
46,34,84,2,7,11,1,1
23,38,112,0,5,13,1,0
52,50,293,0,9,1,1,0
58,34,74,1,4,17,0,0
54,18,139,0,3,6,0,0
41,30,124,1,4,4,1,0
46,15,87,2,5,16,1,0
48,27,179,0,6,15,1,1
52,51,184,2,3,15,1,0
50,34,259,2,2,6,1,0
38,52,268,0,4,15,0,0
49,57,211,0,5,14,0,0
40,38,140,2,4,11,0,0
50,33,66,0,3,7,0,0
20,24,177,1,8,9,1,1
35,15,220,1,4,16,0,0
42,30,236,0,2,5,1,0
59,55,157,2,2,10,1,0
48,42,228,0,1,18,1,0
20,51,231,0,4,3,0,0
57,17,201,2,9,13,1,0
41,5,74,2,7,11,0,0
49,29,248,1,7,17,0,0
39,4,229,2,7,13,1,0
40,10,247,1,8,6,1,0
19,56,294,2,1,17,1,0
44,17,137,0,8,13,0,0
59,10,210,1,4,19,1,0
19,17,226,1,4,19,0,0
43,20,78,1,4,10,1,0
34,24,112,0,6,3,1,1
57,5,284,0,7,14,0,0
50,34,199,0,6,19,0,1
26,6,203,0,1,5,0,0
56,53,205,0,8,5,0,0
46,2,163,1,7,17,0,0
59,13,262,0,6,10,0,0
43,43,98,1,6,5,1,1
52,43,248,0,5,4,1,0
42,48,130,2,6,6,0,1
41,11,133,1,9,4,1,0
30,51,154,2,9,7,0,1
24,47,226,1,8,7,1,0
53,57,197,2,9,18,1,1
37,23,167,0,8,3,0,1
18,55,135,0,8,1,0,1
25,16,269,0,1,4,0,0
33,31,112,1,5,6,1,0
31,11,238,2,4,9,0,0
29,54,153,0,2,14,1,0
40,16,98,2,8,12,0,0
32,8,120,2,3,4,1,0
45,4,50,0,4,12,1,0
51,40,273,0,7,10,0,0
19,4,190,2,9,7,1,0
49,56,271,0,2,3,1,0
40,25,264,0,3,14,0,0
39,3,228,0,4,10,1,0
42,32,172,1,1,16,0,0
39,3,233,2,7,16,0,0
39,27,260,2,2,10,0,0
59,29,111,1,5,13,0,0
23,32,81,2,1,6,1,0
32,50,207,0,3,12,1,0
54,58,78,2,2,9,1,0
50,51,98,0,1,13,0,0
25,19,222,1,7,4,1,0
22,21,270,0,5,11,1,0
56,5,79,2,1,18,0,0
21,18,193,2,6,11,0,0
23,28,217,2,5,4,1,0
49,42,68,1,3,18,0,0
47,22,67,1,7,1,0,1
52,21,50,2,9,7,0,1
57,6,127,0,9,6,0,0
33,1,164,1,9,15,1,0
30,5,224,2,2,18,0,0
59,41,291,2,3,11,0,0
47,12,243,1,7,15,0,0
36,26,295,1,5,16,0,0
34,46,269,1,2,7,0,0
36,34,162,0,3,10,0,0
45,49,163,0,6,12,0,1
43,14,271,2,7,14,0,0
54,26,215,1,9,5,1,0
43,45,228,0,1,18,0,0
40,27,112,1,7,5,1,1
26,9,181,2,8,3,0,0
29,26,178,0,3,5,0,0
18,57,57,0,4,17,0,0
18,47,206,0,6,19,0,0
51,57,104,2,7,19,1,1
49,22,152,1,4,12,0,0
42,47,180,0,8,9,0,1
57,56,81,2,5,1,1,0
18,30,59,1,1,18,1,0
33,43,251,2,4,4,0,0
56,48,260,1,3,10,1,0
22,17,159,2,9,7,1,0
39,26,211,1,8,1,1,0
46,36,173,0,1,17,0,0
20,1,274,1,6,2,0,0
29,8,136,2,9,11,0,0
43,49,104,2,7,9,1,1
33,35,269,1,4,7,0,0
54,52,81,0,1,17,1,0
39,15,227,0,2,17,0,0
46,47,184,1,5,2,0,0
31,56,142,1,5,6,1,0
45,22,57,2,8,14,0,1
22,14,114,0,6,6,1,0
47,26,106,1,8,2,1,1
22,28,296,0,2,1,0,0
29,23,116,1,3,10,1,0
33,14,265,1,6,5,0,0
43,24,264,0,3,2,0,0
43,2,236,1,6,16,1,0
38,45,121,1,6,2,0,1
56,26,103,2,2,10,1,0
53,14,298,1,7,2,0,0
50,59,288,1,2,16,0,0
47,56,278,1,6,16,0,0
54,51,116,2,1,19,0,0
40,7,100,0,3,7,0,0
27,3,146,2,2,12,1,0
22,47,141,2,7,15,1,1
53,23,288,0,4,8,1,0
51,46,57,2,8,6,1,1
48,43,211,0,6,10,1,0
27,47,84,2,4,3,1,0
36,45,145,0,5,19,0,0
49,18,137,1,9,17,0,0
18,58,127,2,7,7,1,1
22,38,81,2,9,4,1,1
21,35,169,2,7,14,0,1
33,51,95,2,1,15,0,0
41,15,284,1,8,8,0,0
33,25,193,2,4,15,1,0
19,55,245,1,3,14,1,0
45,37,293,1,7,9,1,0
49,28,214,1,3,8,0,0
44,10,231,1,8,17,0,0
37,39,262,0,6,2,1,0
41,57,191,0,5,3,1,0
29,17,272,2,4,8,0,0
52,39,104,0,8,12,0,1
50,22,225,0,8,1,0,0
50,26,259,2,1,10,0,0
54,44,56,2,9,3,1,1
29,25,123,2,5,6,0,0
20,17,56,0,4,7,0,0
18,13,210,0,6,18,0,0
50,20,200,2,6,11,1,0
57,25,134,1,2,19,1,0
27,4,196,2,8,5,0,0
46,10,161,1,7,19,0,0
30,3,174,1,1,11,0,0
29,41,196,2,5,12,1,0
48,45,85,2,6,10,1,1
19,18,78,2,4,8,1,0
52,47,237,0,2,9,0,0
40,36,131,1,4,4,1,0
34,47,51,0,1,5,0,0
43,22,178,0,7,8,0,1
25,34,96,2,2,9,0,0
46,47,246,0,2,15,1,0
43,8,197,2,9,15,0,0
27,40,60,1,5,16,1,0
43,49,283,2,2,14,1,0
51,44,179,0,9,8,0,1
58,19,244,0,9,18,0,0
24,42,264,2,1,10,1,0
21,41,168,2,3,6,0,0
28,37,189,0,4,12,1,0
46,6,69,1,7,2,0,0
53,52,54,1,4,7,1,0
42,26,86,2,2,16,1,0
38,34,215,1,7,3,1,0
53,59,271,0,6,13,1,0
27,56,186,2,3,3,0,0
54,59,275,0,6,18,0,0
26,45,102,0,6,11,1,1
41,6,221,1,5,8,1,0
52,37,148,2,4,6,0,0
52,57,293,2,1,1,0,0
53,33,299,1,6,1,0,0
35,53,135,0,2,8,0,0
56,22,157,0,3,5,0,0
49,21,73,0,8,16,0,1
41,6,130,0,6,11,1,0
40,6,251,2,3,5,0,0
49,55,207,2,7,4,0,0
